ai_company,core_name_best,score,top_norms
Aibee,Aibee,1.0,['aibee']
"Accenture(China)Co.,Ltd.",Accenture,1.0,['accenture']
Databricks,Databricks,1.0,['databricks']
Graphcore,Graphcore,1.0,['graphcore']
HorizonRobotics,Horizon Robotics,0.967741935483871,['horizon robotics']
MorganStanley,Morgan Stanley,0.9629629629629629,['morgan stanley']
VanguardX,Vanguard,0.9411764705882353,['vanguard']
AzilenTechnologies,Agilent Technologies,0.8947368421052632,"['agilent technologies', 'lumen technologies']"
VISUA,Visa,0.8888888888888888,['visa']
RaReTechnologies,Trane Technologies,0.8823529411764706,"['trane technologies', 'zebra technologies', 'roper technologies']"
Citadelta,Citadel,0.875,['citadel']
TelexarTechnologies,Tyler Technologies,0.8648648648648649,['tyler technologies']
MCI,Msci,0.8571428571428571,['msci']
Blue9Technologies,Lumen Technologies,0.8571428571428571,['lumen technologies']
ICterra,Coterra,0.8571428571428571,['coterra']
VigilantTechnologies,Agilent Technologies,0.85,['agilent technologies']
RavelinTechnology,Align Technology,0.8484848484848485,['align technology']
AITechnologies,Akamai Technologies,0.8484848484848485,"['akamai technologies', 'bitmain technologies', 'agilent technologies']"
"SunTechnologies,Inc",Lumen Technologies,0.8484848484848485,['lumen technologies']
UCWIndustries,CF Industries Holdings,0.8461538461538461,['cf industries']
OpenTurfTechnologies,Roper Technologies,0.8421052631578947,['roper technologies']
KevitTechnologies,Keysight Technologies,0.8421052631578947,['keysight technologies']
SayOneTechnologies,Trane Technologies,0.8333333333333334,['trane technologies']
AllianceSystems,Alliance Data Systems,0.8333333333333334,['alliance data systems']
IBrandTechnologies,Zebra Technologies,0.8333333333333334,"['zebra technologies', 'trane technologies']"
HauperTechnologies,Roper Technologies,0.8333333333333334,['roper technologies']
MarzexTechnologies,Maxar Technologies,0.8333333333333334,['maxar technologies']
Addepto,Adept,0.8333333333333334,['adept']
DayOneTechnologies,Trane Technologies,0.8333333333333334,"['trane technologies', 'teledyne technologies']"
PlyzerTechnologies,Zebra Technologies,0.8333333333333334,"['zebra technologies', 'tyler technologies', 'roper technologies']"
Celaton,Eaton Corporation,0.8333333333333334,['eaton']
2021.AI,01.AI,0.8333333333333334,['01 ai']
AlemResearch,Lam Research,0.8333333333333334,['lam research']
Intelia,Intel,0.8333333333333334,['intel']
Alfatechnologies,Maxar Technologies,0.8235294117647058,['maxar technologies']
"OrsaTechnologies,LLC",Zebra Technologies,0.8235294117647058,"['zebra technologies', 'trane technologies']"
APEXTechnologies,Trane Technologies,0.8235294117647058,"['trane technologies', 'roper technologies', 'maxar technologies']"
AIGTechnologies,Akamai Technologies,0.8235294117647058,['akamai technologies']
INCNTechnology,Micron Technology,0.7741935483870968,['micron technology']
AerialTechnologies,Zebra Technologies,0.7222222222222222,['zebra technologies']
